target,tar_desc
191/1058368537,"A female person standing outdoors in a natural setting, surrounded by trees and greenery."
29/10846685,"An Asian woman in a gray shirt is holding a small plant with two green leaves, rooted in dark soil, in her cupped hands."
100/1011186599,A lionfish swims in an aquarium surrounded by colorful coral.
83/32970202,A single pumpkin with a textured orange surface.
52/19930138,A glass wine goblet is being filled with white wine from a tilted bottle.
105/1013277407,A bride and groom are walking hand in hand in a grassy field.
133/1025039795,A dynamic scene of ants marching along a rock edge with a powerful stream of water flowing in the background.
132/1024528121,A woman in a tailored blazer stands confidently with her arms crossed.
14/5590520,A person holding a pill between their fingers.
1/862831,"A cartoonish brain character with small arms and legs, now featuring two large, expressive eyeballs."
13/5028887,"Farmers are actively harvesting wheat in a golden field, using machinery and baskets to collect the crop."
146/1030482839,"The image shows a collection of green balls arranged closely together, resembling golf balls with a textured surface."
2/1233361,"A boy sitting in a chair, wearing a red knitted sweater and headphones, with one foot resting on the arm of the chair."
24/8870224,"A young man sitting outdoors, wearing a gray hoodie and a black leather jacket, smiling in a pleasant outdoor setting."
104/1012777667,A young man sitting outdoors with a tense posture and a distressed expression.
33/12631412,"The image depicts a sunset over a hill, with the sun low on the horizon casting warm orange and red hues across the sky and illuminating the grassy path."
26/9676700,"A raw steak is placed on a white surface, surrounded by various spices and herbs for seasoning."
78/30798118,"A glowing orange basketball with black lines is at the center, surrounded by blue electric arcs and beams of light."
107/1014214022,Two young mountain goat kids are grazing on rocky terrain near an adult goat.
87/34433101,"A man sitting at a table in a café, holding a cup in one hand and a smartphone in the other."
14/5496923,A swirling pattern of water reflecting various colors and shapes.
4/1925758,"A young boy is seated on a couch, holding a laptop in his lap, while his parents sit beside him."
137/1026678305,A scattering of almonds on a dark surface.
147/1031097719,A grey heron perched on a nest made of twigs with its wings partially open against a blue sky.
100/1011193961,"A group of people participating in a march while riding bicycles, holding umbrellas and banners on a rainy day."
20/7666114,"A squirrel sits on a branch surrounded by colorful autumn leaves in shades of orange, red, and yellow."
141/1028350556,"A young man sitting on a light-colored rug in a living room, using a laptop while leaning forward on a light gray couch."
39/14833330,A view of a clear blue sky with soft clouds as seen from a window.
178/1048801957,A woman is selecting apples from a display in a grocery store.
29/10916618,A male runner in a purple tank top and headphones stands outdoors with a green background of trees and foliage.
122/1020439744,"A vibrant sunrise over a mountain range, with the sun rising behind the peaks and casting warm colors across the sky."
126/1021901929,Two swans are standing on a grassy area near a body of water.
123/1020729385,"A digital interface with a progress bar at 50% labeled 'SEARCHING' in red, suggesting a search for love."
54/20989960,A couple is sharing a kiss on a sandy beach.
77/30252547,A squirrel is climbing on the rough surface of a tree trunk.
23/8652898,An abstract kaleidoscope pattern featuring vibrant colors and symmetrical designs.
137/1026513920,"The scene depicts tall, bare trees covered in snow against a gray winter sky."
24/8940361,"A fluffy, white and brown dog is sitting in the snow."
82/32370388,A couple in a boat is kissing while holding glasses of red wine.
1/879025,A woman is doing push-ups on a blue yoga mat in a spacious living room.
47/17852158,"A frozen stream covered in ice, surrounded by thick snow."
145/1030269029,A vibrant fire with sparks flying from burning logs and glowing embers.
91/1007374501,"The image features colorful ribbons in shades of blue, turquoise, and orange, flowing and overlapping against a vibrant background."
107/1014229094,A field of beautiful sunflowers with vibrant yellow petals and green leaves under a partly cloudy sky.
125/1021822825,A close-up view of a computer keyboard with illuminated keys in a different color.
156/1035641786,A person working on a motorcycle engine in a garage.
8/3461039,A human figure with skin in a standing position against a black background.
123/1020607588,A garland made of green foliage is adorned with colorful decorations.
21/8002627,A dynamic splash of yellow liquid against a black background.
185/1053658661,An arrow on a dark brick wall points towards a military direction.
60/23378128,A white rose in full bloom surrounded by green leaves.
10/4212871,A simple cross symbol against a plain background.
100/1011298304,A blue directional sign with the word 'Money' written in white letters.
132/1024588784,"A wooden cabinet stands in a room, showcasing its design and features."
22/8363299,"A single pink lotus flower with broad petals is shown, surrounded by green leaves."
20/7515136,A woman is holding her son in her arms while sitting in a field filled with wildflowers.
57/22337254,"A sailboat is navigating through clear blue waters, leaving a white wake behind."
12/4818728,A child's hand drawing a cube on a piece of white paper.
33/12398180,"The image shows a vibrant sea reflecting the warm colors of a sunset, with shades of orange and yellow illuminating the water's surface, while a dark silhouette of trees is visible along the horizon."
190/1057619695,"The image shows several orange flowers, likely azaleas, blooming amidst lush green foliage."
199/1064966794,The performer on stage is wearing blue lingerie while dancing.
11/4367432,"The words 'BREAKING NEWS' are displayed in bold, metallic letters against a dark, smoky background with purple and black hues."
50/19438651,Several boats are seen floating on the greenish water near the bridge.
134/1025457362,"Two young women are standing close together in a clothing store, one wearing a light-colored dress with buttons and the other in a bright red knitted sweater with a striped skirt."
31/11663948,A dense cluster of purple aster flowers with layered petals and lush green foliage.
49/19045789,"A young female is sitting on a brown couch, focused on her smartphone in a cozy indoor setting."
46/17633056,A spider web covered with large raindrops glistening in a green environment.
0/394396,"A close-up view of white daisies with yellow centers, surrounded by green grass."
5/2502473,A colorful butterfly is perched on the entrance of a beehive.
94/1008673384,"A bouquet of colorful tulips in various shades, including red, yellow, and pink, with green stems standing upright against a softly blurred background."
14/5499998,"A view of a mangrove ecosystem with dense trees, exposed roots, and muddy waters."
58/22919281,"A sandy beach with gentle waves, a few people enjoying the sun, and a pier in the distance."
38/14689138,"A family of five stands on a beach at sunrise, with soft colors in the sky and calm water."
91/1007691340,"A male person is standing in a kitchen, wearing a red shirt and blue jeans, holding a paintbrush and painting a wall above a metallic countertop."
55/21688543,"The image shows a digital display of various industry sectors with a focus on the mining industry, featuring the word 'Mining' in white text with a green upward arrow indicating a positive trend."
80/31382974,A group of people with sunglasses enjoying a sunny day against a clear blue sky.
17/6326732,A field of green plants swaying gently in the breeze under a clear blue sky.
124/1021170121,"A large cluster of green grapes tightly packed together, showcasing their round shapes and smooth surfaces."
188/1055513261,A cluster of white roses blooming on a bush surrounded by green leaves.
146/1030743737,Several pieces of roasted meat hanging on a rack inside an oven.
125/1021842574,A shallow stream flows over smooth stones with mountains rising in the background.
8/3303770,A close-up view of a blue power sanding drill with a sanding pad attachment at the front.
150/1032323390,A cluster of wild pink geranium flowers growing freely among other wild plants in a natural setting.
135/1025914241,"A man is standing on a sandy beach, letting sand fall through his fingers."
156/1035415067,The hands are painted with a detailed skeleton design in black and white.
18/6814945,A clear view of a hand positioned above the keys of a laptop keyboard.
195/1061270155,"A woman and a young boy are sitting closely together, sharing a warm moment in a cozy indoor setting."
85/33770305,"The woman has a disgusted expression, with her eyebrows furrowed and mouth turned down, sitting outdoors with her chin resting on her hand."
23/8760142,"A young woman sitting on a couch, wearing a gray tank top and plaid pajama pants, is using a smartphone."
197/1063223215,"The image shows the inside of a ripe red tomato, with smooth flesh and small seeds visible throughout."
50/19311742,"The image displays a sound wave visualization in a digital format, represented in bright red against a dark red background, with a grid pattern and numerical markers indicating amplitude and frequency levels."
9/3650360,"A young elephant is eating, with its trunk raised to its mouth."
7/3070387,"Water replaces the leaves, creating a reflective surface."
184/1053216950,A flowering tree branch densely covered with small pink blossoms against a clear blue sky.
111/1015730875,A man performing a crunch exercise on a black yoga mat in a well-lit room.
172/1044516175,A rocky landscape with rugged cliffs and a textured surface resembling rocks.
165/1040220818,"A woman is standing in an airport, holding a smartphone and looking at the screen."
120/1019714422,A variety of green apples piled together in a tray.
12/4672631,A sunset over the sea with calm waves and silhouettes of palm trees along the shore.
0/396541,A gear symbol is centered on a bright green background.
25/9296813,A young girl in a yellow shirt is sitting at a table with an orange cat and several other pets around her.
44/16836796,"The mountains in the background are covered with mist, blending into the sky."
82/32443204,"The autumn scene features trees with vibrant orange, red, and green leaves illuminated by warm sunlight."
36/13740581,A busy road filled with various vehicles traveling through a forested area.
197/1063267225,"A variety of round vegetables, including yellow, red, and brown types, are placed on a wooden surface."
123/1020720817,A close-up view of Japan highlighted on a globe.
137/1026904424,"The image features a dark background with scattered green points of light, creating an ethereal and shimmering effect."
160/1037550185,"A male surgeon is part of a surgical team in an operating room, focused on a surgical procedure."
10/4031476,A businesswoman in a formal gray suit is standing outdoors while using a laptop.
23/8756119,Two wedding rings are placed on a soft cushion.
40/15212197,"A cozy fireplace with vibrant flames and glowing embers, surrounded by a brick structure."
56/21932062,"A small white gift box with a candle on top, placed on a wooden surface with a blurred colorful light background."
20/7524799,"The man is lounging on a sofa in a tropical setting, enjoying a drink from a small white cup."
16/6260492,A person playing a black electric guitar.
132/1024528103,"A businesswoman in a formal outfit stands confidently, giving a thumbs-up gesture."
26/9764156,"A tall palm tree with a slender trunk and a crown of long, feathery leaves is positioned on a flat surface."
195/1060816630,"A cluster of bright yellow oak leaves attached to a thin branch, with a blurred background of a tree trunk."
49/18681944,A set of makeup brushes is neatly arranged in a brown leather roll.
37/14050928,"A vibrant meadow filled with various wildflowers in shades of purple, yellow, and red, surrounded by green grass."
48/18528284,"The man is sitting at a table, holding a glass of coffee."
66/26066282,"A banana is floating on calm waters, with a green hill in the background and a cloudy sky above."
58/22595854,"The beach is expansive with enlarged waves crashing onto the shore, surrounded by scattered seashells on the sand."
21/7723153,A woman in a red Santa costume is waving her hand.
15/5781209,"A colorful arrangement of sliced kiwi, mandarin oranges, and green apple, with a whole strawberry on top, placed on a wooden surface."
16/6016598,"A collection of shiny, red rings clustered together, reflecting light."
13/5216684,Colorful bokeh lights in various shapes flash against a dark background.
32/11984726,"Multiple hands are playing the piano, positioned over the black and white keys."
30/11318435,"A hillside village at night, with traditional Ottoman-style houses illuminated by warm lights against a dark sky."
53/20382940,"A group of pharmacists standing together in a pharmacy, surrounded by shelves of pharmaceutical products."
9/3822746,A group of four flamingos standing together on a sandy area surrounded by green grass.
15/5926313,A panoramic view of a garden filled with clusters of bright yellow daffodils surrounded by lush green foliage.
101/1011558170,The ground is covered with a dense layer of new leaves in different colors.
53/20432623,"A woman in a black and white striped shirt and red scarf is dancing, with her arms raised and a joyful expression."
102/1012141799,A group of colorful tulips in full bloom surrounded by green leaves near a tranquil pond.
16/6006653,A cluster of vibrant bougainvillea flowers in various shades of pink and purple.
157/1035796868,A field of marigold flowers with bright orange and yellow blooms surrounded by green leaves.
144/1029563723,"The forest is filled with tall trees displaying vibrant fall foliage in shades of orange, red, and yellow, with some leaves scattered on the ground."
125/1021693513,"A man is lying on the ground, wrapped in a blanket and holding a bundle of bread."
167/1041304078,A woman is standing in a suit with a stethoscope around her neck.
22/8366788,"A serene lake at sunset, with a colorful sky reflected on the water's surface."
6/2828698,"A wooden mannequin is juggling three golden Bitcoin coins, symbolizing success in business."
94/1008706960,"A dense field of pink tulips in full bloom, closely packed together."
104/1012745702,"A transparent glass filled with a light-colored liquid, with bubbles rising and droplets on the inner walls."
77/30217465,"A dense forest filled with tall trees and lush green foliage under a soft, diffused light."
101/1011711716,A dense forest filled with various trees and undergrowth.
130/1023732577,A penguin is resting on a large rock against a backdrop of dark rocky formations.
1/707896,A person is chopping a green bell pepper on a wooden cutting board.
35/13334672,"Multiple hands of different skin tones hold up various health signs, such as a heart and a medical cross, against a bright blue sky and green grassy field."
36/13623359,"A digital interface displays a progress bar indicating 50% completion for uploading images, with the text 'UPLOADING' in red above it and 'IMAGES' in yellow below."
119/1019214700,The image shows a series of interconnected lines and geometric shapes in various shades of green against a black background.
4/2132156,A cup filled with tea is being stirred with a spoon.
191/1057835611,"A green chili pepper is resting on a bed of dry grass and twigs, surrounded by flickering flames."
34/13022483,"The image shows a three-dimensional bar graph with four vertical bars in varying heights, all in shades of red. The first bar on the left is a solid red cube, while the other three bars are in different shades of red, arranged in ascending order of height. To the right, there is a digital display showing '49%' in a bold, red font against a red gradient background."
198/1063743199,"A woman is sitting on a couch with a laptop in front of her, surrounded by stacks of cardboard boxes with colorful sticky notes."
83/32761546,A dinner table set with plates and utensils.
83/32753872,A snowman with a carrot nose and a scarf stands in a snowy landscape.
3/1668595,"A stylized representation of Earth with a tree beside it, surrounded by figures holding hands."
150/1032381914,A domestic cat with orange and white fur is lying on a balcony surrounded by potted plants.
138/1027210154,"A child dressed as a chef holds a piece of broccoli in one hand, standing in front of a table with various vegetables, including a large head of broccoli."
144/1029721907,"The man has blonde hair and is standing with his arms crossed in front of a green background, wearing a blue and white plaid shirt and dark pants."
87/34491529,The flames in the grill are transformed into a stylized flame shape.
184/1053091985,A yellow hibiscus flower in full bloom with a dark butterfly hovering nearby.
36/13787534,"The landscape is covered in snow, with evergreen trees blanketed in white, and distant mountains visible under a clear winter sky."
91/1007314984,A river flowing through a natural landscape.
38/14678446,Multiple white candles with flickering flames are arranged against a black background.
166/1041292678,"A turboprop airplane is on a runway, facing towards the viewer, with propellers visible on its wings."
138/1026938750,"A person's hand is playing an acoustic guitar, pressing down on the fretboard while the body of the guitar is visible."
160/1037940728,"A woman in a white dress stands by a river bank, looking out over the water with greenery surrounding her."
84/33166423,A giraffe is grazing in a grassy area surrounded by sparse bushes and trees.
6/2742854,"Colorful rays of light in shades of green, yellow, red, and blue radiate from a central point against a dark background."
76/29956936,A vast corn field with tall green corn plants stretching towards the horizon under a clear blue sky.
127/1022428678,A red panda is sleeping curled up on a pile of logs.
11/4533146,"A pectoral machine is positioned on a gray carpeted floor in a gym, surrounded by other gym equipment."
141/1028616317,"A bridge spans across the River Thames in London, with modern buildings in the background and a walkway lined with trees on the left."
0/324463,A vast expanse of clouds under a clear sky.
20/7407544,A cloudy sky with various shades of gray and white clouds above a lush green grassland.
0/274282,A circular abstract image featuring swirling golden and yellow hues with blurred edges.
13/5136464,A whole red apple sits on a wooden surface.
144/1029794684,"A close-up view of a twenty euro banknote, featuring intricate designs and patterns with a prominent '20' printed in the upper right corner."
112/1016106262,A smaller fifty-dollar bill is displayed on a surface with graphs and charts in the background.
126/1021912345,"A bright light appears as a flare, radiating intensely in the darkness."
16/6204014,A mountain landscape with rocky terrain and a clear blue sky.
139/1027368518,"A rabbit with gray fur is foraging in a wooded area, surrounded by trees and underbrush."
172/1044204745,"The image features a dark background filled with numerous small, bright, golden particles resembling stars or shimmering dust."
7/2901172,"A vibrant hibiscus flower in full bloom, surrounded by green leaves in a lush garden."
147/1031266556,"A person is seated at a table, working on a computer with a pencil in hand, and two plates of dessert are on the table."
173/1045013905,A young man wearing a blue top with a necklace stands in a softly lit indoor environment.
39/14783791,A person lying in bed is talking on a mobile phone.
104/1012944407,A glass is being filled with milk from a green bottle.
12/4741199,"A man is sitting on a black plastic chair, wearing a red and white shirt, with short light brown hair, against a blurred outdoor background."
112/1015865851,Several slices of grapefruit are arranged neatly on a wooden cutting board.
18/6866272,"A man in a suit is sitting at a table in a garden, holding a tablet with a laptop in front of him, surrounded by greenery and flowers."
1/741511,A person slicing a red bell pepper on a wooden cutting board.
1/645064,"A bright sun rising above a calm body of water, casting warm light and reflections on the surface."
27/10178597,"A vibrant cluster of poppies in various colors, surrounded by green foliage."
119/1019117620,The bus has a red top and a green body with white accents.
189/1056641900,"A man sitting at a wooden table in a modern indoor setting, holding a smartphone in his right hand."
3/1663378,A swamp landscape with murky water surrounded by tall reeds and swamp vegetation.
46/17782090,"A man stands with a towel around his neck, holding a water bottle, wearing a black sports bra and black shorts."
21/7762441,"The city intersection is bustling during the day, with vehicles navigating through the roundabout and people walking along the sidewalks under bright sunlight."
10/3961213,A series of colorful gears in motion against a blue digital background.
22/8138611,A water tap is pouring a stream of water into a sink.
12/4866326,A lilac plant with clusters of purple flowers and green leaves.
158/1036458548,"A loading icon in the center, depicted as a circular shape with a segment missing, is colored white against a solid black background."
59/22940656,The image shows a display of violet fireworks bursting in the night sky.
155/1034839343,A vibrant downtown view with tall buildings and busy streets at sunset.
99/1010647253,"A woman sitting on her couch at home, working on a laptop."
1/616807,A black and white Springer Spaniel dog is laying on the grass in a tropical backyard surrounded by palm trees and colorful flowers.
75/29328832,"A woman sitting outdoors at night, holding a smartphone, with a darkened background and soft artificial lighting."
58/22681876,The golden trophy shaped like a heart is positioned to the left of the image.
95/1009306667,"A woman in a light gray turtleneck sweater stands against a bright green background, with her right hand raised slightly as she pauses to think."
194/1060211693,"A boy in a gray sweater stands against a light blue background, holding his hands up near his face."
151/1032983498,"A close-up view of several crabs with dark shells and claws, tightly packed together in a container."
125/1021775833,A close-up view of a black keyboard with illuminated keys in green.
41/15703939,A person's head is being gently massaged by a hand in a relaxing spa environment.
103/1012298984,"A person relaxing in a bathtub, holding a smartphone above the water."
16/5965139,The image shows a close-up view of evergreen tree branches with needle-like leaves that are a vibrant purple color against a dark background.
125/1021843966,"A window with a view of space and Earth, featuring a glass pane and a frame."
38/14563000,"A man with short hair is sitting in a red chair, holding a phone to his ear, dressed in a black blazer over a white shirt."
155/1035010343,"A large, illuminated dragon made of lanterns, featuring intricate scales and wings, is positioned on a green lily pad, surrounded by colorful lights and a purple lotus flower."
18/6834775,"A man with curly hair is standing on a beach, waving with one hand."
20/7669078,Several brown horses are grazing in a lush green meadow.
120/1019514514,A silhouette of a person practicing yoga in a tree pose against a sunset sky filled with warm hues of orange and pink.
160/1037494442,A hand is reaching into a refrigerator to take an apple.
104/1012647119,A bird is standing in the green grass.
131/1024058255,"A clear glass blender filled with fresh blackberries, with some scattered on a wooden surface."
3/1444423,A detailed liver scan showing the liver's lobes and surrounding structures.
63/24758396,A frying pan filled with cooked rice mixed with various colorful vegetables.
5/2481374,"A carpenter is working on the roof, using a hammer to secure a wooden beam."
113/1016340361,Three circular speakers in green against a black background.
197/1063097449,"A close-up view of green grapes, glistening with moisture, clustered together on a vine."
92/1007815894,"A printer icon with a rectangular body and a paper tray, outlined in light green."
25/9308525,"A vibrant fire show with multiple flames in the background, enhancing the warm glow of a flickering flame in the foreground."
105/1013218574,A woman is making a bouquet of red roses in a florist shop.
10/4034821,A black cat leans over a glass bowl filled with milk on a wooden surface.
126/1022103127,A couple is posing closely together for a selfie in an outdoor city setting.
35/13331573,"The pizza is topped with red tomatoes, cooked mushrooms, green leafy vegetables, slices of courgettes, bits of meat, and a creamy white sauce."
118/1018575886,"The television screen displays a graphic that reads 'TORNADO WARNING' in bold, white letters against a blue background."
0/33673,A scene depicting green traffic with vehicles and road signs in various shades of green.
181/1050924589,Three cucumbers resting on a surface with water droplets splashing around them.
98/1010229200,"Three peppers, two red and one green, are splashing in water against a black background."
25/9401840,The image shows a tree in a green field with small green shoots emerging from the grass around its base.
193/1059417227,The image shows several wind turbines silhouetted against a clear blue sky.
88/34821805,"The young man is sitting at a table, making an 'okay' sign with his right hand."
95/1009095338,"A woman in a white tank top kneels on a bed, playfully holding a pillow above her head, while a young girl in a white diaper stands beside her, also holding a pillow."
28/10329995,A boat is floating on calm water under a blue sky with scattered clouds.
94/1008736607,"A woman architect is sitting at a table, focused on her tablet."
6/2740751,"A man sitting on steps holding a stack of documents, while a woman beside him is reviewing papers."
5/2258611,A person walking along the sandy beach near a modern outdoor lounge area with a daybed and palm trees.
38/14424817,"A large tanker is anchored on a calm body of water, reflecting a cloudy sky."
