target,tar_desc,enriched_desc
113/1016417848,"The waterfall begins at the top of the frame, flowing down over rocks and creating white frothy waves as it crashes.","[""Waterfall starts at the top, cascading over rocks"", ""Top-down waterfall flows over rocks and creates waves"", ""Waterfall begins high, crashing onto rocks below"", ""High waterfall descends over rocks, forming frothy waves"", ""Waterfall starts at the top, creating white frothy waves"", ""Top waterfall flows down over rocks, making frothy water"", ""Waterfall begins at the top, crashing over rocks"", ""Top waterfall flows down, creating white frothy waves"", ""Waterfall starts at the top, crashing onto rocks"", ""Top waterfall descends over rocks, forming frothy water""]"
79/31030384,A hippopotamus is resting in water within a zoo enclosure.,"[""Hippo resting in zoo water enclosure"", ""Zoo hippo relaxing in water"", ""Hippo in zoo enclosure near water"", ""Water hippo in zoo setting"", ""Zoo hippo cooling off in water"", ""Hippo in zoo water habitat"", ""Hippo in zoo enclosure by water"", ""Zoo hippo enjoying water"", ""Hippo in zoo water area"", ""Hippo in zoo near water source""]"
26/9850094,A white tulip stands out prominently among a field of yellow tulips.,"[""White tulip amidst yellow field"", ""Prominent white tulip in yellow field"", ""Tulip stands out in yellow field"", ""Yellow field with white tulip"", ""White tulip in sea of yellow"", ""Yellow field with single white tulip"", ""White tulip in vibrant yellow field"", ""Yellow field featuring white tulip"", ""White tulip in yellow tulip field"", ""Yellow field with white tulip standing out""]"
120/1019450026,"A nighttime cityscape with illuminated streets and buildings, including a prominent church with domes and crosses.","[""Evening cityscape with illuminated streets and buildings"", ""Nighttime view of illuminated city streets and buildings"", ""Illuminated city at night with prominent church"", ""Evening cityscape featuring a church with domes and crosses"", ""Nighttime cityscape with illuminated streets and a church"", ""Evening view of a city with a prominent church"", ""Illuminated city at night with a church"", ""Evening cityscape with a church and illuminated streets"", ""Nighttime cityscape with a prominent church and illuminated streets"", ""Evening view of a city with a church and illuminated streets""]"
92/1007953600,"The video depicts a serene sunset at the beach with an orange hue dominating the scene. The sun is partially obscured by clouds, casting a warm golden glow across the sky and reflecting off the ocean waves. The camera pans slowly from left to right, showcasing the tranquil waters gently lapping against the shore. The horizon line is clearly visible, separating the vibrant orange sky from the deep blue sea. The overall atmosphere remains peaceful and calming, with the natural beauty of the sunset creating a picturesque scene.","[""Sunset turns orange over the ocean"", ""Orange hues dominate the tranquil beach"", ""A serene sunset with an orange glow"", ""Ocean waves reflect the warm orange light"", ""Clouds partially obscure the orange sun"", ""The horizon line separates the orange sky"", ""Gentle waves lap against the shore in orange"", ""The camera pans across the orange-hued scene"", ""A peaceful sunset with an orange hue"", ""The sun sets in an orange sky over the ocean""]"
46/17789092,Three horses grazing in a lush green field.,"[""Cows transformed into horses grazing"", ""Horses replace cows in the field"", ""Pastoral scene shifts from cows to horses"", ""Cows turned into horses in the field"", ""Horses replace cows in the lush field"", ""Cows become horses in the green field"", ""Horses take over where cows once grazed"", ""Cows replaced by horses in the field"", ""Horses replace cows in the grassy field"", ""Cows transformed into horses in the pasture""]"
195/1061652037,An expansive forest viewed from an aerial perspective with a layer of fog diffusing the light and softening the edges of the trees.,"[""Foggy forest aerial view"", ""Trees shrouded in misty light"", ""Soft fog diffuses forest landscape"", ""Aerial shot of fog-laden trees"", ""Fog blankets the forest canopy"", ""Foggy forest from above"", ""Mist diffuses forest edges"", ""Foggy forest aerial perspective"", ""Trees softened by fog"", ""Foggy forest aerial view""]"
161/1038248252,"Close-up of hands playing a piano, as a child.","[""Child's hands playing piano close-up"", ""Close-up of child's fingers on piano keys"", ""Piano playing by a child's hands"", ""Child's hands on piano keys up close"", ""Fingers of a child playing piano"", ""Child's hands close-up on piano"", ""Piano playing by a child's hands"", ""Close-up of child's hands on piano"", ""Child's fingers on piano keys"", ""Piano playing by a child's hands up close""]"
19/6998899,"Four chicken patties cooking on a grill, sizzling and browning with smoke rising from the grill grates.","[""Chicken patties sizzle on the grill"", ""Cooking chicken patties with smoke"", ""Grilling chicken patties with visible smoke"", ""Sizzling chicken patties on the grill"", ""Chicken patties cooking with smoke rising"", ""Smoke billows as chicken cooks"", ""Chicken patties browning on the grill"", ""Chicken patties sizzling on the grill"", ""Smoke rises as chicken patties cook"", ""Chicken patties cooking with smoke""]"
7/3101338,A moose is seen eating in a grassy field with dense green foliage in the background.,"[""Moose grazing on lush grass"", ""Moose munching on green vegetation"", ""Moose feeding in a grassy field"", ""Moose eating grass in the forest"", ""Moose munching on dense foliage"", ""Moose feeding amidst greenery"", ""Moose eating grass in the woods"", ""Moose grazing in a grassy area"", ""Moose munching on forest floor"", ""Moose feeding in a verdant field""]"
15/5607887,"A bottle is tilted to pour champagne into a glass mug, creating a frothy head as the liquid fills the mug.","[""Pouring champagne into a glass mug"", ""Champagne being poured into a mug"", ""Frothy champagne fills a glass mug"", ""Champagne being poured into a mug"", ""Champagne froth rises as it fills a mug"", ""Pouring champagne into a mug"", ""Champagne being poured into a glass mug"", ""Champagne fills a mug with froth"", ""Pouring champagne into a mug"", ""Champagne froth rises as it fills a mug""]"
50/19139647,"The fireworks display is enhanced with a wider range of colors, including bright pinks, purples, and greens, alongside the existing blue and gold. Each burst is more vivid, and the light trails are longer and more pronounced, creating a more dynamic and visually appealing scene.","[""Fireworks burst with vibrant colors in the night sky"", ""Enhanced fireworks display with vivid hues"", ""Dynamic fireworks with extended light trails"", ""Colorful fireworks create a mesmerizing scene"", ""Vivid fireworks display in the night sky"", ""Fireworks with extended trails and varied colors"", ""Enhanced fireworks with bright pinks and purples"", ""Vibrant fireworks display in the night sky"", ""Fireworks with longer trails and diverse colors"", ""Dynamic fireworks with extended light trails and vivid colors""]"
54/21050647,"A gardener is planting flowers in a garden bed, surrounded by lush greenery and blooming blooms.","[""Gardener planting flowers in lush garden"", ""Blooming blooms surround the gardener"", ""Heart symbol amidst blooming garden scene"", ""Trophy on display in the garden setting"", ""Greenery and blooms highlight the gardener"", ""Gardening theme with blooming flowers"", ""Heart shape in the garden with blooms"", ""Trophy in the background of the garden"", ""Gardener surrounded by blooming blooms"", ""Heart and trophy in the garden setting""]"
60/23674450,"A wooden table with a wooden bowl filled with cherry tomatoes and lettuce, and a hand placing lettuce leaves on top of the salad in the bowl. The salad inside includes boiled eggs, pomegranate seeds, cucumber slices, and cherry tomatoes. The background is a plain white wall, and the lighting is bright, highlighting the colors of the food and the wooden table.","[""Remove the jar from the scene"", ""Eliminate the jar from view"", ""Jar removed from the video"", ""No jar present in this clip"", ""Jar has been taken out"", ""Jar is no longer visible"", ""Jar removed from the frame"", ""Jar is absent in this shot"", ""Jar has been deleted"", ""Jar is not shown here""]"
187/1055275253,"The eggs are now placed in a basket instead of a box, maintaining the same number and arrangement of eggs.","[""Eggs transferred from box to basket on the table"", ""Basket replaces box for holding eggs on the table"", ""Hand moves eggs from box to basket on the table"", ""Eggs repositioned from box to basket on the table"", ""Box replaced by basket for eggs on the table"", ""Eggs moved from box to basket on the table"", ""Basket takes place of box for eggs on the table"", ""Eggs shifted from box to basket on the table"", ""Box replaced by basket for eggs on the table"", ""Eggs transferred from box to basket on the table""]"
5/2445590,"A romantic couple is sitting on a sandy beach, enjoying the sunny day together.","[""Romantic couple relaxing on sandy beach"", ""Couple enjoying sunny day by the sea"", ""Sitting together on the beach, embracing romance"", ""Romantic scene at the beach with lovers"", ""Love blossoms on the sandy shore"", ""Couple sharing a moment by the ocean"", ""Romantic getaway on the beach"", ""Sunny day romance by the water"", ""Lovers enjoying the beach breeze"", ""Beach romance under the sun""]"
143/1029254246,"It is raining on the street, with raindrops falling and possibly forming puddles on the ground. The street may have people or vehicles moving under the rain, creating a dynamic and potentially moody scene.","[""Rain falls on the street, creating puddles"", ""Street scene with raindrops and potential puddles"", ""Dynamic rain on the urban street"", ""Rainy day on the city street"", ""People and vehicles move under the rain"", ""Raindrops form puddles on the street"", ""Moody street scene with rain"", ""Rainy weather on the urban road"", ""Rain creates reflections on the street"", ""Rainy day on the city sidewalk""]"
23/8724241,"The elderly woman appears visibly angry, with furrowed brows, clenched fists, and a tense posture.","[""Elderly woman shows anger with clenched fists"", ""Angry woman with furrowed brows and tense posture"", ""Woman's anger is palpable with clenched fists"", ""Elderly lady's anger is evident in her stance"", ""Furrowed brow and clenched fists convey anger"", ""Tense elderly woman displays anger"", ""Anger is clear on the elderly woman's face"", ""Elderly woman's anger is intense"", ""Visible anger in the elderly woman's expression"", ""Elderly woman's clenched fists show frustration""]"
162/1038873812,"A digital display screen transitions from showing the word 'Strategy' to displaying a vision icon, which could include elements like eyes, glasses, or a lightbulb.","[""Digital screen displays vision icon"", ""Vision icon appears on screen"", ""Transition to vision icon on display"", ""Vision icon replaces word 'Strategy'"", ""Eyes, glasses, or lightbulb vision icon"", ""Vision icon emerges on digital screen"", ""Icon change from word to vision symbol"", ""Vision icon takes over digital display"", ""Vision icon appears after 'Strategy'"", ""Vision icon replaces text on screen""]"
73/28815640,A man is undergoing an eye examination at an optometrist's office.,"[""Man undergoes eye exam at optometrist"", ""Eye examination at optometrist's office"", ""Optometrist examines man's eyes"", ""Man receives eye check-up"", ""Eye test session at optometrist"", ""Optometrist checks man's vision"", ""Man's eyes being examined"", ""Optometrist's office eye examination"", ""Eye doctor assesses man's vision"", ""Man's eyes being checked by optometrist""]"
159/1037198261,"A group of hippos standing in shallow water near a sandy riverbank, drinking water and interacting with the surroundings.","[""Hippos in shallow water near the shore"", ""Group of hippos drinking by the riverbank"", ""Hippos interacting with their environment"", ""Shallow water scene with hippos"", ""Hippos near the sandy riverbank"", ""Hippos drinking water in the wild"", ""Hippos in their natural habitat"", ""Hippos near the water's edge"", ""Hippos in the riverbank area"", ""Hippos enjoying the water's edge""]"
22/8175793,"A woman driving a convertible car along a beach, with a man added to the scene, possibly joining her in the car or walking alongside her.","[""Woman drives convertible with man joining her"", ""Beach drive with man added to the scene"", ""Woman drives car, man walks alongside"", ""Man joins woman driving on the beach"", ""Beach car ride with man accompanying"", ""Woman drives, man walks by the ocean"", ""Man joins woman driving along the beach"", ""Woman drives car, man walks nearby"", ""Beach drive with man added to the scene"", ""Woman drives car, man walks alongside""]"
37/14125823,"A triangular-shaped citrine gemstone with a warm orange hue, rotating against a black background.","[""Citrine gemstone shaped like a triangle"", ""Warm orange citrine rotating in a triangle"", ""Black background with a triangular citrine"", ""Triangle-shaped citrine glowing in the dark"", ""Citrine gemstone in a triangular form"", ""Warm orange hue on a triangular citrine"", ""Black backdrop with a triangular citrine"", ""Rotating triangular citrine gemstone"", ""Citrine in a triangular shape against black"", ""Warm orange citrine in a triangular frame""]"
182/1051614052,"Dark liquid resembling coffee is projected onto a white surface, spreading out to form splashes and droplets, with a rich brown color and a frothy texture.","[""Coffee projected on white surface"", ""Dark coffee splashes on white backdrop"", ""Brown coffee droplets spread on white"", ""Frothy coffee forms splashes on white"", ""Rich coffee color on white surface"", ""White surface with coffee splashes"", ""Coffee droplets on white background"", ""White surface with coffee splashes and droplets"", ""Coffee texture on white surface"", ""White surface with coffee splashes and froth""]"
57/22170196,"The fireworks display is now yellow, creating a warm and vibrant burst of light against the black background.","[""Yellow fireworks light up the night sky"", ""Vibrant yellow bursts against the dark backdrop"", ""Warm glow from yellow fireworks"", ""Yellow sparks dance in the darkness"", ""A burst of yellow light in the night"", ""Yellow fireworks illuminate the scene"", ""Yellow sparks create a dazzling display"", ""Night sky filled with yellow fireworks"", ""Yellow bursts add color to the dark sky"", ""Yellow fireworks light up the night""]"
95/1008991985,"A man in a suit interacts with a smartphone, navigating a digital interface focused on customer experience, culminating in the display of the phrase 'CUSTOMER EXPERIENCE.'","[""Businessman navigates customer experience on smartphone"", ""Suit-clad man interacts with digital interface"", ""Customer experience displayed on smartphone screen"", ""Navigating customer experience with holographic interface"", ""Smartphone shows customer experience data"", ""Businessman focuses on customer experience"", ""Digital interface highlights customer experience"", ""Customer experience phrase appears on smartphone"", ""Businessman engages with customer experience app"", ""Smartphone displays customer experience metrics""]"
12/4863143,"The stack of books now appears dusty, with a layer of fine particles covering their surfaces, giving them a more aged and weathered appearance.","[""Stack of dusty books"", ""Dusty layer on book surfaces"", ""Books covered in fine particles"", ""Aged and weathered appearance"", ""Fine dust coating the books"", ""Dusty surface of old books"", ""Weathered look due to dust"", ""Books with a dusty texture"", ""Dust settling on book pages"", ""Dusty books with aged look""]"
187/1055192048,The woman tilts the shaker bottle to drink water.,"[""Woman tilts bottle to drink water"", ""Tilting bottle for a sip of water"", ""Drinking water from tilted bottle"", ""Woman sips water from bottle"", ""Bottle tilted for a drink of water"", ""Water poured into mouth from bottle"", ""Woman takes a drink from bottle"", ""Pouring water from bottle into mouth"", ""Woman drinks water from tilted bottle"", ""Bottle tilted for a refreshing drink""]"
66/25791737,"A woman with a beard standing in front of a glass wall covered with colorful sticky notes. She appears focused, looking at the notes and occasionally writing on them with a pen.","[""Woman with beard writing on sticky notes"", ""Focused woman reading sticky notes"", ""Woman standing by colorful sticky notes"", ""Woman writing on sticky notes with pen"", ""Woman in front of glass wall with sticky notes"", ""Woman looking at sticky notes on wall"", ""Woman with beard and sticky notes"", ""Woman writing on sticky notes in office"", ""Woman focused on sticky notes on wall"", ""Woman with beard and colorful sticky notes""]"
96/1009509707,"Multiple wooden caskets are placed side by side, symbolizing unity and a shared tribute.","[""Caskets aligned for unity and tribute"", ""Side-by-side caskets symbolize unity"", ""Multiple caskets placed together"", ""Wooden caskets united in tribute"", ""Caskets positioned for shared memory"", ""Caskets aligned for solemn ceremony"", ""Side-by-side caskets signify unity"", ""Caskets placed together for tribute"", ""Caskets aligned for shared remembrance"", ""Caskets positioned for solemnity""]"
56/21892387,"A bumblebee is perched on a purple flower with numerous stamens. The bumblebee moves slightly, exploring the flower's surface.","[""A bumblebee explores a purple flower"", ""Bumblebee perches on a flower with stamens"", ""Buzzing bumblebee on a purple bloom"", ""Flower with stamens visited by a bumblebee"", ""A bumblebee's exploration of a flower"", ""Purple flower with a bumblebee"", ""Stamens of a flower with a bumblebee"", ""A bumblebee on a flower with stamens"", ""Bumblebee on a purple flower with stamens"", ""A bumblebee's journey on a flower""]"
81/31786621,"The man in a suit interacts with a holographic tutoring interface on his smartphone, which adapts seamlessly across different platforms.","[""Businessman uses holographic tutoring app on phone"", ""Hologram tutoring interface on smartphone"", ""Adapting hologram tutoring experience across platforms"", ""Smartphone displays holographic tutoring content"", ""Tutoring hologram on mobile device"", ""Cross-platform holographic tutoring on phone"", ""Businessman interacts with hologram on phone"", ""Mobile hologram tutoring adapts to devices"", ""Holographic tutoring on cross-platform phone"", ""Businessman engages with hologram on smartphone""]"
12/4916840,"The leaves on the tree branch begin to detach and fall, creating a gentle cascade of colors against the backdrop of the forest.","[""Leaves falling from the tree branch"", ""Gentle cascade of leaves in the forest"", ""Tree branch with leaves detaching and falling"", ""Fallen leaves create a colorful display"", ""Leaves detach and fall in the forest"", ""A serene scene of leaves falling"", ""Leaves falling gracefully from the tree"", ""Forest backdrop with falling leaves"", ""Leaves detach and fall in the woods"", ""A peaceful moment of leaves falling""]"
137/1026649082,"Pine trees are silhouetted against a vibrant sunset with orange and pink hues in the sky. The trees sway gently, creating a serene and tranquil atmosphere.","[""Pine trees replace palms in a sunset scene"", ""Silhouettes of pine trees against a vibrant sky"", ""Pine trees sway where palms once stood"", ""Sunset with pine trees replacing palm trees"", ""Pine trees create a serene atmosphere"", ""Palm trees replaced by pine trees in the sky"", ""Pine trees replace palms in a tranquil setting"", ""Pine trees take the place of palm trees"", ""Pine trees replace palms in a colorful sky"", ""Palm trees transformed into pine trees""]"
15/5790809,"A small, contained sparkler burning brightly against a dark background.","[""Sparkler burning brightly on a dark background"", ""Small sparkler glowing in the darkness"", ""Bright sparkler against a dark backdrop"", ""Sparkler flickers in the night"", ""Sparkling light in the dark"", ""Sparkler burning in the shadows"", ""Glowing sparkler in the darkness"", ""Sparkler illuminating the dark space"", ""Sparkler burning in the night"", ""Sparkling light in the dark setting""]"
37/14259386,"A crowd of people is walking along the sandy beach, with some individuals bending down to pick up objects or adjust their shoes.","[""Crowd on sandy beach picking up objects"", ""People walking along the beach bending to adjust shoes"", ""Bent-over crowd on the beach gathering items"", ""Individuals on the beach adjusting footwear"", ""Crowd on the beach with bent figures"", ""Beachgoers bending to pick up objects"", ""People on the beach adjusting their shoes"", ""Crowd on the beach with bent figures picking up items"", ""Beach crowd bending to adjust footwear"", ""People on the beach bending to gather objects""]"
20/7413952,"A river at sunset with reeds lining the banks, reflecting the vibrant colors of the sky in the still water.","[""River at sunset with reeds reflecting sky"", ""Vibrant sunset over a river with reeds"", ""Reeds line the banks of a river at dusk"", ""Sunset sky reflected in a river with reeds"", ""River with reeds at sunset, sky colors"", ""Reeds and river at sunset with sky hues"", ""Dusk scene with river and reeds reflecting sky"", ""River at sunset with reeds and sky colors"", ""Reeds and river at dusk with colorful sky"", ""Sunset sky reflected in a river with reeds""]"
18/6692486,"Two businessmen are using smartphones in a public transportation setting, dressed in professional attire.","[""Businessmen use smartphones on the subway"", ""Professional attire on the subway platform"", ""Two men in suits using phones in transit"", ""Business attire meets technology on the train"", ""Men in suits engaged with smartphones"", ""Professional commuters using smartphones"", ""Businessmen dressed in suits on the subway"", ""Technology meets professionalism on the train"", ""Two men in suits using smartphones in transit"", ""Business attire and smartphones on the subway""]"
7/3249973,A flock of seagulls flying gracefully in the sky against a cloudy backdrop.,"[""Seagulls soaring in the cloudy sky"", ""Graceful flight of seagulls against clouds"", ""Flock of seagulls gliding through the sky"", ""Seagulls flying high amidst clouds"", ""Seagulls in the sky with a cloudy view"", ""Seagulls gliding in the sky with clouds"", ""Seagulls flying gracefully in the cloudy sky"", ""Cloudy sky backdrop for seagulls flying"", ""Seagulls in flight against a cloudy sky"", ""Seagulls soaring in the sky with clouds""]"
73/28520983,"A man sitting at an outdoor café table, using a tablet computer and a laptop.","[""Man uses tablet and laptop at outdoor café"", ""Outdoor café scene with man working on devices"", ""Man sits at table with tablet and laptop"", ""Man multitasking with tablet and laptop outside"", ""Outdoor café setting with man using tech"", ""Man working on devices at outdoor café"", ""Man at table with tablet and laptop outside"", ""Man using tablet and laptop at outdoor café"", ""Outdoor café with man working on devices"", ""Man multitasking with tablet and laptop at café""]"
59/22974412,"The circuit board appears to fly over itself, creating an illusion of movement.","[""Circuit board illusion: flying over itself"", ""Flying circuit board creates an optical illusion"", ""Illusion of movement: circuit board flying over itself"", ""Circuit board appears to levitate above itself"", ""Optical trick: circuit board flying over itself"", ""Circuit board illusion: hovering above itself"", ""Flying circuit board: an optical illusion"", ""Circuit board seems to fly over itself"", ""Illusion of motion: circuit board flying over itself"", ""Circuit board appears to levitate in mid-air""]"
74/28909057,"The fence is now under some plague, with a warning sign reading 'WARNING DENGUE' placed against it.","[""Fence under plague with warning sign"", ""Plague-affected fence with warning notice"", ""Fence under dengue threat with sign"", ""Warning sign on plague-infested fence"", ""Fence under dengue alert with sign"", ""Sign warns of plague on fence"", ""Plague-ridden fence with warning placard"", ""Fence under dengue outbreak with sign"", ""Sign reads 'WARNING DENGUE' on plague fence"", ""Plague fence with dengue warning notice""]"
24/8901043,"The video starts with a countdown timer on a blue screen, counting down from 10 to 1, followed by a transition to a blue screen. The countdown timer features a white circle with a black number inside, and the blue screen has a grid pattern. The video ends with a blue screen.","[""Countdown timer transitions to blue screen"", ""White circle with black number on blue background"", ""Blue screen with grid pattern appears next"", ""Video ends with a blue screen"", ""Countdown timer changes to blue"", ""Transition to blue screen with grid"", ""Blue screen concludes the video"", ""Countdown timer turns blue"", ""Blue screen with grid pattern"", ""Video ends on blue screen""]"
16/6196238,"A person is cutting an orange with a knife, revealing its juicy orange flesh.","[""Person slicing orange with knife on table"", ""Cutting juicy orange with knife"", ""Revealing orange flesh with knife"", ""Knife slices through orange fruit"", ""Hand holds knife cutting orange"", ""Orange being sliced by knife"", ""Fruit being cut with knife"", ""Knife reveals orange flesh"", ""Cutting orange with knife on table"", ""Knife slices orange on table""]"
116/1017658294,A man stretches his arms out wide on the beach.,"[""Man stretches arms wide on sandy beach"", ""Stretching arms out on the beach"", ""Beach exercise with arms stretched wide"", ""Person stretches arms on sandy shore"", ""Stretching on the beach with arms outstretched"", ""Man stretches arms on the beach"", ""Beach workout with arms stretched wide"", ""Stretching arms out on the sandy beach"", ""Man stretches arms on the beach"", ""Beach exercise with arms outstretched""]"
112/1015919176,"A stone cross with a flowing robe draped over it, set against a backdrop of a tree with green foliage and a cloudy sky.","[""Stone cross draped with flowing robe against tree"", ""Cross with robe set against tree and cloudy sky"", ""Draped robe on stone cross near tree"", ""Stone cross with flowing robe by tree"", ""Tree backdrop with stone cross draped in robe"", ""Robe-draped cross amidst tree and sky"", ""Stone cross with flowing robe near tree"", ""Tree and sky behind draped stone cross"", ""Stone cross draped in robe near tree"", ""Draped robe on stone cross with tree backdrop""]"
62/24350933,"The video focuses on the onion being sautéed in a pan with other vegetables, highlighting its texture and cooking process.","[""Onion sautéing in a pan with vegetables"", ""Cooking onions with other veggies in a pan"", ""Sautéing onions with broccoli and carrots"", ""Vegetable dish focusing on onion texture"", ""Onions cooking in a pan with mixed veggies"", ""Highlighting onion in a vegetable sauté"", ""Vegetables being cooked with an onion focus"", ""Pan-fried onions with other vegetables"", ""Cooking onions with broccoli and cauliflower"", ""Vegetable dish emphasizing onion preparation""]"
177/1048110868,"A woman in a professional setting, dressed in a blue blazer and white shirt, seated in front of a white wall with a clock and green plants. She appears relaxed and is looking directly at the camera.","[""Woman in blue blazer and white shirt"", ""Professional woman seated by clock and plants"", ""Relaxed woman in formal attire"", ""Woman dressed in blue and white in office-like setting"", ""Woman in professional outfit seated against wall"", ""Woman in blue blazer and white shirt in office"", ""Woman in formal wear seated near clock and plants"", ""Professional woman in blue and white in office"", ""Woman in blue blazer and white shirt in office"", ""Woman in professional attire seated by clock and plants""]"
48/18327244,"The stadium is bathed in the warm glow of a setting sun, with the sky painted in shades of orange and pink. The crowd is seen watching the sunset, creating a peaceful and reflective atmosphere.","[""Crowd watches sunset at the stadium"", ""Stadium filled with people watching sunset"", ""Spectators enjoy the sunset at the stadium"", ""Sunset scene at the stadium with spectators"", ""People gather to watch the sunset at the stadium"", ""Stadium lights illuminate the sunset-watching crowd"", ""Spectators gather to witness the sunset at the stadium"", ""Sunset creates a serene atmosphere at the stadium"", ""Stadium filled with people watching the sunset"", ""Sunset paints the sky at the stadium with spectators""]"
151/1032923978,A pixelated display showing a sale icon illuminated against a dark background.,"[""Pixelated screen displays a glowing sale icon"", ""Sale icon illuminated on a pixelated screen"", ""Dark background highlights a sale icon on a pixelated screen"", ""Screen shows a sale icon glowing against a dark backdrop"", ""A sale icon is illuminated on a pixelated display"", ""Pixelated screen with a sale icon glowing"", ""Sale icon stands out on a pixelated screen"", ""A dark background frames a sale icon on a pixelated screen"", ""Glowing sale icon on a pixelated screen"", ""Pixelated screen featuring a sale icon""]"
186/1054592420,A variety of crackers arranged on a colorful checkered tablecloth.,"[""Crackers displayed on a checkered tablecloth"", ""Colorful crackers on a patterned tablecloth"", ""Variety of crackers arranged on a checkered cloth"", ""A spread of crackers on a vibrant tablecloth"", ""Crackers neatly placed on a checkered surface"", ""A selection of crackers on a colorful tablecloth"", ""Crackers arranged on a patterned tablecloth"", ""A display of crackers on a checkered tablecloth"", ""Crackers on a checkered tablecloth with text"", ""A colorful tablecloth showcasing crackers""]"
